"Match","MatchTeams","Team","Player","Opponent","Player Opponent","Position","Position Opponent","Champion","Champion Opponent","Kills","Kills Opponent","Deaths","Deaths Opponent","Assists","Assists Opponent","Creep Score","Creep Score Opponent","Gold Earned","Gold Earned Opponent","Champion Damage Share","Champion Damage Share Opponent","Kill Participation","Kills Participation Opponent","Wards Placed","Wards Placed Opponent","Wards Destroyed","Wards Destroyed Opponent","Ward Interactions","Wards interactions Opponent","Dragons For","Dragons For Opponent","Dragons Against","Dragons Againts Opponent","Barons For","Barons For Opponent","Barons Against","Barons Against Opponent","Winner"
"Match15","HLEvsRED","HLE","Deft","RED","Titan","Adc","Adc","Kaisa","Miss Fortune","9","2","2","3","3","6","272","227","14162","10376","0.26","0.24","0.57","0.8","15","15","8","15","23","30","4","0","0","4","1","0","0","1","HLE"
"Match15","HLEvsRED","HLE","Vsta","RED","Jojo","Support","Support","Leona","Amumu","3","1","2","4","10","5","39","30","7961","5892","0.06","0.1","0.62","0.7","39","43","11","4","50","47","4","0","0","4","1","0","0","1","HLE"
"Match18","PCEvsINF","PCE","Vizicsacsi","INF","Buggax","Top","Top","Jayce","Gnar","4","13","4","4","4","1","265","256","12869","16360","0.2","0.34","0.38","0.82","19","12","7","6","26","18","4","0","0","4","1","0","0","1","PCE"
"Match18","PCEvsINF","PCE","Babip","INF","Solidsnake","Jungle","Jungle","Lillia","Lee Sin","8","1","4","6","7","11","240","181","14521","10273","0.23","0.15","0.71","0.71","5","17","13","9","18","26","4","0","0","4","1","0","0","1","PCE"
"Match18","PCEvsINF","PCE","Tally","INF","Cody","Mid","Mid","Irelia","Sylas","6","1","5","6","11","9","320","183","17194","9754","0.25","0.22","0.81","0.59","15","21","6","2","21","23","4","0","0","4","1","0","0","1","PCE"
"Match18","PCEvsINF","PCE","Violet","INF","Whitelotus","Adc","Adc","Xayah","Aphelios","3","2","1","3","7","7","342","332","14369","13620","0.24","0.22","0.48","0.53","11","15","8","5","19","20","4","0","0","4","1","0","0","1","PCE"
"Match18","PCEvsINF","PCE","Aladoric","INF","Ackerman","Support","Support","Leona","Rakan","0","0","3","2","15","12","48","51","8340","7715","0.06","0.08","0.71","0.71","69","62","19","21","88","83","4","0","0","4","1","0","0","1","PCE"
"Match21","LNGvsRED","LNG","Ale","RED","Guigo","Top","Top","Jayce","Kennen","4","0","2","5","5","1","264","203","14251","8754","0.33","0.22","0.6","0.2","12","13","4","3","16","16","1","2","2","1","1","0","0","1","LNG"
"Match21","LNGvsRED","LNG","Tarzan","RED","Aegis","Jungle","Jungle","Gragas","Xin Zhao","3","1","2","3","9","1","177","197","10271","9202","0.19","0.19","0.8","0.4","7","11","15","7","22","18","1","2","2","1","1","0","0","1","LNG"
"Match21","LNGvsRED","LNG","Icon","RED","Grevthar","Mid","Mid","Zed","Irelia","2","1","1","1","0","3","266","253","11214","10111","0.18","0.14","0.13","0.8","14","16","4","9","18","25","1","2","2","1","1","0","0","1","LNG"
"Match21","LNGvsRED","LNG","Light","RED","Titan","Adc","Adc","Lucian","Miss Fortune","6","2","0","3","5","1","300","243","13497","11052","0.24","0.37","0.73","0.6","13","20","7","5","20","25","1","2","2","1","1","0","0","1","LNG"
"Match21","LNGvsRED","LNG","Iwandy","RED","Jojo","Support","Support","Rakan","Lulu","0","1","0","3","11","3","42","14","7168","6486","0.07","0.08","0.73","0.8","50","37","17","12","67","49","1","2","2","1","1","0","0","1","LNG"
"Match16","HLEvsPCE","HLE","Morgan","PCE","Vizicsacsi","Top","Top","Aatrox","Renekton","4","0","0","4","6","0","252","247","12829","9214","0.26","0.24","0.48","0","13","16","9","7","22","23","4","0","0","4","1","0","0","1","HLE"
"Match16","HLEvsPCE","HLE","Willer","PCE","Bapip","Jungle","Jungle","Taliyah","Lillia","8","4","2","5","6","1","187","162","12156","9729","0.17","0.37","0.67","0.71","12","6","9","11","21","17","4","0","0","4","1","0","0","1","HLE"
"Match16","HLEvsPCE","HLE","Chovy","PCE","Tally","Mid","Mid","Azir","Irelia","3","1","0","4","4","1","325","268","13502","10772","0.22","0.15","0.33","0.29","16","13","18","5","34","18","4","0","0","4","1","0","0","1","HLE"
"Match16","HLEvsPCE","HLE","Deft","PCE","Violet","Adc","Adc","Miss Fortune","Tristana","6","1","1","4","8","3","295","220","14645","9588","0.28","0.13","0.67","0.57","18","12","6","10","24","22","4","0","0","4","1","0","0","1","HLE"
"Match16","HLEvsPCE","HLE","Vsta","PCE","Aladoric","Support","Support","Amumu","Rakan","0","0","4","4","14","5","36","39","7399","5861","0.07","0.12","0.67","0.71","51","48","10","7","61","55","4","0","0","4","1","0","0","1","HLE"
"Match9","C9vsUOL","C9","Fudge","UOL","Boss","Top","Top","Gangplank","Camille","4","6","4","3","4","8","186","160","9567","9939","0.32","0.21","0.73","0.74","9","10","4","4","13","14","1","3","3","1","0","0","0","0","UOL"
"Match9","C9vsUOL","C9","Blaber","UOL","Ahahacik","Jungle","Jungle","Xin Zhao","Lee Sin","1","3","6","3","10","12","148","154","8350","9604","0.16","0.14","1","0.79","5","11","5","5","10","16","1","3","3","1","0","0","0","0","UOL"
"Match9","C9vsUOL","C9","Perkz","UOL","Nomanz","Mid","Mid","Leblanc","Sylas","3","6","4","4","4","9","197","193","8772","11195","0.26","0.35","0.64","0.79","7","6","2","4","9","10","1","3","3","1","0","0","0","0","UOL"
"Match9","C9vsUOL","C9","Zven","UOL","Argonavt","Adc","Adc","Miss Fortune","Senna","2","2","3","0","4","16","236","50","9735","8808","0.2","0.22","0.55","0.95","10","22","3","7","13","29","1","3","3","1","0","0","0","0","UOL"
"Match9","C9vsUOL","C9","Vulcan","UOL","Santas","Support","Support","Rell","Sion","1","2","2","1","8","9","28","184","5843","8889","0.06","0.09","0.82","0.58","32","11","7","7","39","18","1","3","3","1","0","0","0","0","UOL"
"Match5","DFMvsBYG","DFM","Evi","BYG","Liang","Top","Top","Urgot","Aatrox","10","1","0","4","6","1","257","217","15358","9660","0.24","0.12","0.73","0.5","8","14","10","4","18","18","3","1","1","3","1","0","0","1","DFM"
"Match5","DFMvsBYG","DFM","Steal","BYG","Husha","Jungle","Jungle","Lillia","Xin Zhao","4","0","0","7","12","1","215","167","12194","8205","0.29","0.14","0.73","0.25","13","13","16","7","29","20","3","1","1","3","1","0","0","1","DFM"
